group,value,questions,clean_accuracy,poisoned_accuracy,raw_asr,induced_successes,eligible_questions,attack_induced_asr
Gold label,yes,50,0.7,0.0,1.0,35,35,1.0
Gold label,no,50,0.84,0.34,0.66,25,42,0.5952380952380952
Target poison rank,rank = 1,84,0.7619047619047619,0.14285714285714285,0.8571428571428571,52,64,0.8125
Target poison rank,rank > 1,16,0.8125,0.3125,0.6875,8,13,0.6153846153846154
Poisons in top 5,one,64,0.703125,0.171875,0.828125,34,45,0.7555555555555555
Poisons in top 5,multiple,36,0.8888888888888888,0.16666666666666666,0.8333333333333334,26,32,0.8125
