metric,successes,total,value,ci_95_lower,ci_95_upper,notes
Clean RAG accuracy,77,100,0.77,0.6784561697712622,0.8415673411969654,
Poisoned RAG accuracy,17,100,0.17,0.10893566114059931,0.25548004767601123,
Poison Retrieval ASR@1,84,100,0.84,0.7557973061072976,0.8990471151119521,
Poison Retrieval ASR@5,100,100,1.0,0.9630065017930143,1.0,
Raw generation ASR,83,100,0.83,0.7445199523239887,0.8910643388594006,
Attack-induced ASR,60,77,0.7792207792207793,0.6745693253831342,0.857335969589013,Clean-correct questions only
